0	8.34e+02	92.6
1	5.85e+02	73.2
2	36.4	5.2
3	2.85	0.475
4	1.69	0.337
5	1.66	0.416
6	0.935	0.312
7	0.768	0.384
8	0.566	0.566
9	7.8e-27	inf
